Venue Name,Location,Rating,Reviews,Overview,Ambience,Services Offered,Facilities,Space Capacity,Operating Time,USPs,Cash,UPI,Credit Card,Net Banking,Cheque,Paytm,Google Pay,PhonePe,Out_decor_Allowed,Both_decor,Only_panel_decor,Out_Catering_allowed,Inhouse_Catering_Only,Both_Catering_allowed
Devamirthas Party Hall (Restaurant),"Sholinganallur, Chennai",4.0,1,"Devamirthas Party Hall is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Restaurant at Devamirthas Party Hall is best for events in Sholinganallur, Chennai.",Good Ambience,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Restaurant (Indoor) - 100,100,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,1,0,0,0,0,1,0,0,0,0,1
Annalakshmi Restaurant,"Kelambakkam, Chennai",4.5,1,"Annalakshmi Restaurant is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Banquet Hall Cum Buffet at Annalakshmi Restaurant is best for events in Kelambakkam, Chennai.",Good Ambience,"AV Equipment, DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall Cum Buffet (Indoor) - 450,450,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,1,0,0,0,0,1,0,0,0,0,1
Diff 42 Resto Lounge,"Velachery, Chennai",4.0,1,"Diff 42 Resto Lounge is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Resto Lounge at Diff 42 Resto Lounge is best for events in Velachery, Chennai.",Good Ambience,"Full Bar, Smoking Area, DJ Available, Power Backup, Hukka, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Resto Lounge (Indoor) - 120,120,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,1,0,0,0,0,1,0,0,0,0,1
Marhaba Mini Function Hall,"Pallavaram, Chennai",3.8,1,"Marhaba Mini Function Hall is a well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us. Conference Hall at Marhaba Mini Function Hall is best for events in Pallavaram, Chennai.",Good Ambience,"Full Bar, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Conference Hall (Indoor) - 100,100,11:00 - 11:00 PM,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Sangeetha Veg Restaurant,"Shandy Road, Chennai",4.2,1,"Sangeetha Veg Restaurant is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. 2nd Floor at Sangeetha Veg Restaurant is best for events in Shandy Road, Chennai.",Good Ambience,"AV Equipment, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",2nd Floor (Indoor) - 300,300,11:00 AM - 00:00 PM,Alcohol Allowed,1,0,1,1,1,0,0,0,1,0,0,0,0,1
Kipling Cafe,"Raja Annamalai Puram, Chennai",4.2,1,"Kipling Cafe is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Outdoor at Kipling Cafe is best for events in Raja Annamalai Puram, Chennai.",Good Ambience,"AV Equipment, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Outdoor (Outdoor) - 250,250,11:00 AM - 00:00 PM,Alcohol Allowed,1,0,1,1,1,0,0,0,1,0,0,0,0,1
Onesta Omr Chennai,"Old Mahabalipuram Road, Chennai",4.1,1,"Onesta OMR Chennai is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Restaurant at Onesta Omr Chennai is best for events in Old Mahabalipuram Road, Chennai.",Good Ambience,"AV Equipment, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Restaurant II (Indoor) - 124,124,00:00 AM - 00:00 PM,Alcohol Allowed,1,0,1,1,1,0,0,0,1,0,0,0,0,1
27 Culinary Street,"Mylapore, Chennai",4.2,1,"27 Culinary Street is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us. Party Space Area at 27 Culinary Street is best for events in Mylapore, Chennai.",Good Ambience,"AV Equipment, DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Party Space Area (Indoor) - 750,750,11:00 AM - 00:00 PM,Alcohol Allowed,1,0,1,1,1,0,0,0,1,0,0,0,0,1
Vascos,"Guindy, Chennai",2.0,1,"Vascos is a well located and fully furnished restaurant along with a banquet hall in its own locality. We always take care of our guests and their desires they look for from us! Banquet Hall at Vascos is best for events in Guindy, Chennai.",Good Ambience,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Banquet Hall (Indoor) - 1200,1200,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Maharasi Mahal,"Kolathur, Chennai",2.0,1,"Maharasi Mahal, Kolathur, Chennai, is a simple yet elegant venue to host your wedding and reception ceremony. It has a banquet hall that is spacious enough to invite over a large number of guests.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Maharasi Mahal (Indoor) - 600,600,6:00 - 6:00,Not specified,1,0,0,1,1,0,0,0,0,1,0,0,0,1
GPL Mahal,"Kolathur, Chennai",2.0,1,"GPL Mahal, Kolathur, Chennai, makes for an optimum venue for weddings, receptions, sangeet, mehndi, rasam, and haldi ceremony, engagement functions, birthday parties, wedding ceremonies, thread ceremonies, baby showers, naming ceremonies, and much more.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",GPL Mahal (Indoor) - 1050,1050,6:00 - 5:00,Own DJ service,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Daalchini Restaurant And Party Hall,"Chrompet, Chennai",2.0,1,"Daalchini Restaurant And Party Hall, Chromepet, Chennai, is one of the popular eateries present in the prominent areas of the city. This upmarket restaurant is perfect for hosting your birthdays, anniversaries, private parties, bridal showers, kitty parties, pre-wedding ceremonies, family get-togethers cultural, and community events.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Daalchini Restaurant And Party Hall (Indoor) - 200,200,9:00 - 11:00 PM,Own DJ service,1,0,0,1,1,0,0,0,0,1,0,0,1,0
SSM Elite Party Hall,"Perambur, Chennai",2.0,1,"SSM Elite Party Hall, Perambur, Chennai, is a modest and pocket-friendly destination to host your pre-wedding and other auspicious ceremonies. It offers a dainty banquet hall with minimalist interiors and comfortable seating arrangements.",Not specified,"Catering Available, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",SSM Elite Party Hall (Indoor) - 300,300,6:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,1,0,0
Queen Hall,"Perambur, Chennai",2.0,1,"Queen Hall, Perambur, Chennai, has got you covered! It is a simple and affordable banquet space perfect to host your wedding and reception ceremonies.",Not specified,"DJ Available, Catering Available, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Queen Hall (Indoor) - 750,750,6:00 - 5:00,Own DJ service,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Vasantha Maaligai,"Perambur, Chennai",2.0,1,"Vasantha Maaligai, Perambur, Chennai are considered to be one of the most comely and traditional wedding venues in the town. Vasantha Maligai, Perambur, Chennai can ideally be considered as your one-stop destination for all your wedding ceremonies, rituals, special occasions, social events, and intimate gatherings.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Vasantha Maaligai (Indoor) - 250,250,6:00 - 11:00 PM,Own DJ service,1,0,0,1,1,0,0,0,0,1,0,0,0,1
SK Party Hall,"Perambur, Chennai",2.0,1,"SK Party Hall, Perambur, Chennai, is an ideal location to celebrate tying the knot with your significant other. It provides its guests with a decadent spread of vegetarian and non-vegetarian dishes, freshly and skillfully made by the chefs for you and your guests to enjoy.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",SK Party Hall (Indoor) - 300,300,10:00 - 10:00 PM,Own DJ service,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Chitti Hall,"Perambur, Chennai",2.0,1,"Chitti Hall, Chromepet, Chennai, is a well-designed and budget-friendly destination to host South Indian style intimate weddings and other auspicious ceremonies. It offers a capacious banquet hall, that suits most of your indoor functions. Adorned with intricate embellishments, vibrant hues, decent decor, and lovely lights, the hall renders a pleasant visual.",Not specified,"DJ Available, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Chitti Hall (Indoor) - 300,300,6:00 - 5:00,Own DJ service,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Hotel Southern Comfort,"Nanganallur, Chennai",2.0,1,"A contemporary venue for all of your social and corporate events, Hotel Southern Comfort, Nanganallur, Chennai, promises comfort and style. It is a well-liked 3-Star hotel offering modern amenities, top-notch services, and warm hospitality.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Hotel Southern Comfort (Indoor) - 600,600,9:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Prinitha Tower Party Hall,"Urapakkam, Chennai",2.0,1,"Prinitha Tower Party Hall, Urapakkam, Chennai, is a wonderful budget-friendly banquet hall. It can hold more than a couple of hundred guests hence is perfect for your mid-sized celebrations.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Prinitha Tower Party Hall (Indoor) - 300,300,7:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Sri Haritha Mini Hall,"Nanganallur, Chennai",2.0,1,"Sri Haritha Mini Hall, Nanganallur, Chennai, is not far from Vetrrivel Cinemas. The venue is spacious and can accommodate a small gathering. Sri Haritha Mini Hall is a great budget venue.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Haritha Mini Hall (Indoor) - 250,250,7:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Virutcham Banquete Hall,"Pattabiram, Chennai",2.0,1,"Virutcham Banquete Hall, Pattabiram, Chennai, is perfect to host small events such as birthday parties, anniversary parties, social gatherings, formal gatherings, or an intimate pre-wedding ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Hall 1 - 150, Hall 2 - 200",200,8:00 - 10:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Sri Aar Aar Aar Hall,"Pattabiram, Chennai",2.0,1,"The moment you step in at Sri Aar Aar Aar Hall, Pattabiram, Chennai, you will feel the refreshing change in your environment, helping you with high standards of service in an absolutely luxurious ambiance.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Aar Aar Aar Hall (Indoor) - 450,450,8:00 - 10:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Sea La Vie Beach Resort,"Thiruvidandhai, Chennai",2.0,1,"Sea La Vie Beach Resort, Thiruvidandhai, Chennai is a great venue to host your birthday parties, anniversaries, corporate events and pre-wedding functions.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sea La Vie Beach Resort (Indoor + Outdoor) - 150,150,7:00 - 6:00,Alcohol Allowed,1,0,0,1,0,0,0,0,0,0,1,0,1,0
Mani Mahal,"Saligramam, Chennai",2.0,1,"Mani Mahal, Saligramam, Chennai is a great venue to host your wedding and reception ceremony. It offers quality services at an affordable price.",Not specified,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Mani Mahal (Indoor) - 750,750,6:00 - 5:00,Own DJ service,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Shri Vishnu Mahal,"Saligramam, Chennai",2.0,1,"Shri Vishnu Mahal, Saligramam, Chennai is a simple yet modest venue to host your wedding and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Shri Vishnu Mahal (Indoor) - 1150,1150,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Shoba Kalyana Mandapam,"Saligramam, Chennai",2.0,1,"Shoba Kalyana Mandapam, Saligramam, Chennai, is a capacious and budget-friendly venue perfect to host your wedding and reception ceremonies.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Shoba Kalyana Mandapam (Indoor) - 850,850,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Ramalakshmi Paradise,"Madhavaram, Chennai",2.0,1,"Gracing the Detriot of India lies the beautiful Ramalakshmi Paradise, Madhavaram, Chennai. Various predominant services provided as per the client’s requirement.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Ramalakshmi Paradise (Indoor) - 3000,3000,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Udhaya Britto Mahal,"Perungudi, Chennai",2.0,1,"Udhaya Britto Mahal, Perungudi, Chennai is one of the popular budget party halls in Chennai. The traditional and colorful decor at this banquet hall would charm your guests.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Udhaya Britto Mahal (Indoor) - 300,300,7:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Moonlight,"Perungudi, Chennai",2.0,1,"Moonlight Takeaway And Delivery Party Hall, Chennai, Perungudi is a great catch if youre in search of a venue to host your birthday party, anniversary, private gathering, family get-together, ring ceremony, close-knit weddings, receptions, and various other small-scale events.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Moonlight (Indoor) - 150,150,10:00 - 11:00 PM,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Sri Seetha Lakshmi Marriage Hall,"Maduravoyal, Chennai",2.0,1,"Sri Seetha Lakshmi Marriage Hall, Maduravoyal, Chennai, is a modest and pocket-friendly destination to ring in your wedding and reception ceremonies.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Seetha Lakshmi Marriage Hall (Indoor) - 750,750,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
AJ Gardens,"Red Hills, Chennai",2.0,1,"The vibrant interiors that AJ Gardens, Redhills, Chennai have to offer will surely take a huge spot in your heart and make you choose them for your big day.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Hall at AJ Gardens (Indoor) - 400,400,2:00 PM - 1:00,Alcohol Allowed,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Sri Ganesh Thirumana Mandapam,"Pammal, Chennai",2.0,1,"Sri Ganesh Thirumana Mandapam, Pammal, Chennai, is an exemplary destination to host your South Indian style marriage and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Ganesh Thirumana Mandapam (Indoor) - 1400,1400,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
VMR Ishwaryam Mahal,"Kundrathur, Chennai",2.0,1,"VMR Ishwaryam Mahal, Kundrathur, Chennai, is perfect to host mid-sized events such as birthday parties, anniversary parties, social gatherings, formal gatherings, pre-wedding ceremonies, weddings, or wedding reception.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",VMR Ishwaryam Mahal (Indoor) - 300,300,10:00 - 10:00 PM,Decorations should be chosen only from our Panel,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Thangam Party Hall,"Medavakkam, Chennai",2.0,1,"Ideal for hosting all your large social gatherings, Thangam Party Hall, Medavakkam, Chennai has an opulent and sparkling banquet hall that makes sure all of your events are planned and executed in style.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Thangam Party Hall (Indoor) - 550,550,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Sri Devi Palace AC Marriage Hall,"Medavakkam, Chennai",2.0,1,"Sri Devi Palace AC Marriage Hall, Medavakkam, Chennai is a lovely venue to host your grand wedding and reception ceremony.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Sri Devi Palace AC Marriage Hall (Indoor) - 2000,2000,2:00 - 12:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Praneetha Palace,"Kodungaiyur, Chennai",2.0,1,"Praneetha Palace, Kodungaiyur, Chennai is a beautiful venue to host wedding and reception ceremonies, social events, formal gatherings, cultural events and so on.",Not specified,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",Praneetha Palace (Indoor) - 1000,1000,6:00 - 5:00,Not specified,1,0,0,1,0,0,0,0,0,1,0,0,0,1
